iter	Logloss
231	0.1214682581
232	0.1209178969
233	0.1202308401
234	0.1197873456
235	0.1193585754
236	0.1187150212
237	0.1183929929
238	0.1179791874
239	0.1176651485
240	0.1172121081
241	0.1168667617
242	0.1164905985
243	0.1161678093
244	0.1158366052
245	0.1155422219
246	0.115042175
247	0.1147254268
248	0.1145417766
249	0.1139923222
250	0.1135452826
251	0.113256117
252	0.1127729663
253	0.1124097998
254	0.1121940379
255	0.11197006
256	0.1115626235
257	0.1109606781
258	0.1105867272
259	0.1102564829
260	0.1099325919
261	0.1096680355
262	0.10934392
263	0.1090091371
264	0.1086961149
265	0.1082315541
266	0.1077551137
267	0.1074250701
268	0.1071510812
269	0.1066984918
270	0.1064777293
271	0.1062074419
272	0.1058881089
273	0.1054616906
274	0.1051006248
275	0.1047767327
276	0.1044843382
277	0.1041329328
278	0.1038128318
279	0.1034090949
280	0.1031772418
281	0.1029551079
282	0.1025054209
283	0.1021882657
284	0.1019115622
285	0.1016374077
286	0.1013585745
287	0.1010292769
288	0.1005382226
289	0.1002427544
290	0.1000330637
291	0.09976064653
292	0.09942699702
293	0.09917538163
294	0.09887362998
295	0.09860784884
296	0.09841589568
297	0.0981704378
298	0.09799889448
299	0.0975827784
300	0.09737012776
301	0.09702929455
302	0.09673518577
303	0.09650445398
304	0.09631453536
305	0.09606247846
306	0.09576636318
307	0.09547141508
308	0.09521774599
309	0.09482472146
310	0.09455527744
311	0.09434964532
312	0.09386331234
313	0.093653508
314	0.09333329601
315	0.09310108962
316	0.09287589207
317	0.09250894652
318	0.09216701611
319	0.09202038703
320	0.09176671879
321	0.0915949059
322	0.09135809384
323	0.09125528639
324	0.09112769987
325	0.09092141394
326	0.09067627457
327	0.09039185331
328	0.09018849829
329	0.09004924974
330	0.0898998137
331	0.08967793379
332	0.08939008555
333	0.08908103906
334	0.08870689439
335	0.08857139744
336	0.08836829763
337	0.08819668516
338	0.08795799124
339	0.08758006365
340	0.08723113381
341	0.08703593662
342	0.08668465598
343	0.08629679193
344	0.08620118372
345	0.08598215552
346	0.0858319628
347	0.08564255689
348	0.08525970615
349	0.0850494584
350	0.08485548833
351	0.08461734649
352	0.08440658126
353	0.08402278592
354	0.08374168905
355	0.08347451599
356	0.08330808366
357	0.08315516182
358	0.08296832293
359	0.08270267061
360	0.08231740467
361	0.08218321184
362	0.08200727471
363	0.08169869169
364	0.08143741292
365	0.08122547988
366	0.08106483023
367	0.08090596516
368	0.08070297385
369	0.08050806235
370	0.08030330808
371	0.08013757401
372	0.07988698349
373	0.07958549336
374	0.07931818793
375	0.07912520282
376	0.07901718392
377	0.07879236638
378	0.07853457105
379	0.0783841938
380	0.07820552711
381	0.07801837897
382	0.07780745537
383	0.0776310667
384	0.07739408359
385	0.07717193191
386	0.07699627163
387	0.07679176184
388	0.07659152618
389	0.07634089311
390	0.07598418095
391	0.07583465545
392	0.07562963918
393	0.07541975174
394	0.07528871421
395	0.07506786471
396	0.07479151508
397	0.0746524902
398	0.074548869
399	0.07429822364
400	0.07418722868
401	0.07403986982
402	0.07375292321
403	0.07359177248
404	0.07337741391
405	0.07322538583
406	0.07309400329
407	0.07298669012
408	0.07279224549
409	0.07267258177
410	0.07252404283
411	0.07239689478
412	0.07220491329
413	0.07205558693
414	0.07192232181
415	0.07165826485
416	0.07146896409
417	0.07130010151
418	0.07119045611
419	0.07092411553
420	0.07073073278
421	0.07060768898
422	0.07034068128
423	0.07007461691
424	0.06991251143
425	0.06977236621
426	0.06964904359
427	0.06957540642
428	0.06938010354
429	0.0691993698
430	0.06909036319
431	0.06898989804
432	0.06883335443
433	0.06872645088
434	0.06853622662
435	0.06840301408
436	0.06828053185
437	0.06816174597
438	0.06790235588
439	0.06782951112
440	0.06766455606
441	0.06752037076
442	0.06725041526
443	0.06699651965
444	0.06681597851
445	0.06660150874
446	0.06638969399
447	0.06614789807
448	0.06600275707
449	0.06586633626
450	0.06567341834
451	0.06551070724
452	0.06537865363
453	0.06524725818
454	0.06510265159
455	0.06500544025
456	0.0648777072
457	0.06468128138
458	0.06440159355
459	0.0642438072
460	0.06400959629
461	0.06388020123
462	0.06371648263
463	0.06356195411
464	0.06345256933
465	0.06321790848
466	0.06303115429
467	0.06285450957
468	0.06261006524
469	0.06241639597
470	0.06220928195
471	0.06211126266
472	0.06202189124
473	0.0618756417
474	0.06167987177
475	0.06146254424
476	0.06132211325
477	0.06123054974
478	0.06104210684
479	0.06084788482
480	0.06072721605
481	0.06065410329
482	0.06043022995
483	0.06024719177
484	0.0600628841
485	0.05988984756
486	0.05976349353
487	0.05965770707
488	0.05951334709
489	0.05944008603
490	0.05926596855
491	0.05907002935
492	0.0589620841
493	0.05883474915
494	0.0586845539
495	0.05854144238
496	0.05839234557
497	0.05831074337
498	0.05823520925
499	0.05811163177
